评论名称,评分星级,评论内容,评论时间
白露霜降,s-star5,"在杭州待了一段时间，个人觉得西湖还是蛮漂亮的，不同天气有不同的韵味，毕竟素有“晴西湖不如雨西湖,雨西湖不如夜西湖,夜西湖不如雪西湖”，但如果想把自己拍的美美的，还是选择晴天，毕竟光线较好。工作日的时候西湖苏堤白堤可以骑自行车的，建议步行加共享单车（借用后请妥善归还，不要影响交通），走走停停，来个环湖骑行，有小圈（白堤-苏堤-南山路）大圈（白堤-杨公堤-南山路）两种形式，西湖东边沿线沿湖只能步行，到雷峰塔一段有许多小景点，又可以看西湖和群山。对于断桥残雪啥的一些景点，得特定的天气去，不然就很平淡无趣。一般有两种形式俯视整个西湖，一，登雷峰塔（自南向北看），这里得说这个雷峰塔是后来新建的，缺少一种韵味，二、登宝石山（10几分钟就到山顶，登宝石流霞自北向南看）。关于人流，白堤，北山街的人一般长时间较多，同时西湖银泰周边商业气氛较浓，喜欢人多的可以去那。如果想看点不一样的西湖，建议去骑行杨公堤，看里西湖和毛家坞，时间充裕再逛逛灵隐寺等景点。最后不得不说节假日的西湖的夜景还是挺漂亮的，西湖音乐喷泉也是毕打卡的（但一般人比较多，也可以远点看）",2019-04-26 10:20:39
冰镇西瓜,s-star4,清明去的西湖，人很多。还好杭州呆的比较久，之后后又去了一遍哈哈哈，双腿可是费的差不多了，不过挺值得，年轻人我觉得还是不要坐观光车了，毕竟以后大把的机会😂，坐船还是可以的三泉映月呢。于雷峰塔上俯瞰了西湖，大气温婉湖天相倚，感受了玻璃保护着的断壁残垣，当我看到景区（1924雷峰塔倒塌记录展板）好可惜啊，不然那美好故事，佛教文化建筑感受一定更深刻。行走在白堤，苏堤上一路郁郁葱葱，粼粼波光安然愉悦，就是不断的飘着柳絮，对它过敏就难受啦……其他的就不细说了，对了地铁龙翔桥下比较好，有一个导航是不太对的。欲把西湖比西子，淡妆浓抹总相宜。,2019-04-09 17:12:01
刀刀,s-star5,始终觉得杭州是一个极美的城市，西湖，是杭州的一张名片，更是杭州的灵魂，一年四季各有千秋，春来“花满苏堤柳满烟”，夏有“红衣绿扇映清波”，秋是“一色湖光万顷秋”，冬则“白堤一痕青花墨”。三月初，西湖边踏青，从白堤漫步到苏堤，仿佛一路行走在诗与画之中，无论是水光潋滟晴方好 、山色空蒙雨亦奇，还是梨花院落溶溶月、柳絮池塘淡淡风，都心有所感。无论是行还是坐，都是岁月静好，一路迤逦，西湖十大景纷至沓来，而这个季节最让人能体味到何为“苏堤春晓”，何为“柳浪闻莺”，名中有诗，名中有画。“苏堤春晓”。春季拂晓是欣赏苏堤最佳时间，此时薄雾蒙蒙，垂柳初绿、桃花盛开，尽显西湖旖旎的柔美气质。“柳浪闻莺”。西湖岸边多柳树，风摆成浪、莺啼婉转。如今，漫步其间，且行且听，柳丝拂面，莺鸟鸣啼，一派生机盎然的景象。,2019-03-10 20:34:18
Arlene许丽娜,s-star5,杭州西湖一日游攻略！苏沪杭、乌镇旅游，今天就把西湖的旅游攻略整理一下！📢旅游顺序:断桥残雪>白堤>苏堤>花港观鱼>三潭印月（坐船）>雷峰塔>音乐喷泉☞本来参考别人的攻略是把上面的顺序倒过来，但是走下来发现这样在雷峰塔上可以看到西湖白天和晚上的全景（当然晚上有些黑），不过雷峰塔亮灯后确实比白天好看☞1断桥残雪个人感受实在是太普通了，普通的我都以为没来过，是不是走错了地方，果然印证了那个事实，图片都是骗人的☞2白堤我们是完全步行的，如果时间充足，又不怕累的话，可以步行，景色还可以，相对苏堤差远了，所以建议白堤可以坐景区内的电车，>过了白堤会看见（平湖秋月），说实话，这个景点好对不起这个名字，不过也只能脑补一下，在古时候这里是多么的美，才被这样命名[害羞R] [害羞R] [害羞R]☞3苏堤苏堤确实不错，全长270 多米，建议慢慢的行走，感受一下两边的美景，偶尔选一处坐下远望出出神，真的给人一种很舒适的感觉，所以苏堤一定要自己走完[斜眼R] [斜眼R] [斜眼R] [斜眼R]☞4花港观鱼位于苏堤结束处，里面有个千年鱼池，说实话一般，只能感慨它的历史悠久，除了一个方池子，里面有鱼，什么也看不懂，可以蹭一下旅游的导游，听听他们的讲解，要不你会不知道看了什么?_?再往里走有个（蒋庄），这个是我喜欢的，真羡慕当时可以住在那里的人，临湖而居，有通往湖的台阶，好生羡慕，感觉临湖比临海更有几分惬意。然后里面还有几个景点，说是没意思，就出来了☞5三潭印月这个一定要去看，但不建议做55元的那个船，游玩花港观鱼坐，55元包含船票和三潭门票，说实话登上那个岛超级没意思！后来看攻略说可以坐摇撸船，180一个船，可坐6个人，可以和别人拼船，那个是可以近距离接近三个石塔，如果登岛拍照都拍不清楚，当然你有照相机另说了[偷笑R] [偷笑R] [偷笑R] [偷笑R]☞6雷峰塔（￥40）回来时，在花港码头登岸，然后往左走就可以去雷峰塔了，雷峰塔原址还是建议看看，看原址的感受是塌了真可惜，不过如果没有新建的，也许我们就不可以登上去俯瞰整个西湖了[偷笑R] [偷笑R] [偷笑R] [偷笑R]☞7音乐喷泉最后去的，晚上7点和8点有两场表演，很不错，就是人太多，如果早了可以去占个前面的座，看7点的，晚了等着7点的结束，人群散时，接着坐在前面等看8点的。,2018-10-13 05:56:31
ecoh,s-star5,欲把西湖比西子，淡妆浓抹总相宜。东坡先生对西湖的赞美是深入人心的 是存在于记忆深处的 去过西湖三次 每次去总有不同的感受 因为一次总是看不完的 印象最深的 应该是正好赶上G20峰会 赶在快要封景区的前两天 本以为进不去杭州了 结果还好只是检查多了一些 这样的好处就是 明明是旅游高峰期 却并没有很多人 总算是赶上了好时机 西湖很大 大到用脚步丈量经过半天时间已经很累了 西湖不仅仅是看湖 里面还有很多的小景点 曲院风荷 柳浪闻莺 花港观鱼 苏堤 白堤 断桥 三潭映月 雷峰塔 都在整个西湖景区里 但是至今我都没去成雷峰塔 只能等以后了要我说 每一个景点都值得一去 因为各有各的不同 都是别样的存在 西湖夜景据说也很美 许多景色 需要自己亲眼去看看 去感受 西湖最好是四 五月份去 正是春夏交替之际 天气刚刚好 不冷不热 六月开始热起来体感不会太好 天气一热就很容易疲倦 西湖却需要慢慢走 细细看不太适合盛夏,2018-05-02 11:16:42
Laans,s-star5,本新杭州人来点评一发。在我还没来杭州的几年前，来过两次西湖，当时也是同大部分游客一样，冲着旧西湖十景来。一天时间里徒步把外西湖（湖滨-北山街-苏堤-南山路）走了一圈，当时最喜欢的是苏堤，人没有湖滨那么多，桃红柳绿漂亮极了。后来我自己定居杭州，这一年多时间里，也差不多把西湖里里外外玩了个遍。因为实在是受不了拥挤，所以我基本上每次去西湖，都是从杨公堤开始的，我认为杨公堤及杨公堤以西的西湖群山，才是西湖最美的部分，而这些地方，外来游客其实很少能踏足。如果真的要把西湖玩透了玩好了，你可能需要一周的时间和足够的体力。在西湖十景、新西湖十景和三评西湖十景之中，我来说说我个人最常走的几个吧：1、柳浪闻莺（清波门旁边，常年节假日都是人巨多，但是没办法这里的柳树真的很美）2、曲院风荷（苏堤以西杨公堤以东，与苏堤以玉带桥相连，在岳庙对面印象西湖处看玉带桥非常好。这个景区相对旧十景的其他来说人少一些。我每次走完杨公堤都是穿过曲院风荷回北山街的）3、九溪烟树（废话少说，强势安利，真的太美了这里，世外桃源好吗。可从龙井村或钱塘江边徒步过来，徒步的线路也都是很美的古道。）4、云栖竹径（入口在梅灵南路上，可以从景区里上五云山穿越到龙井村，虽然很累但是穿越途中看着整片整片的茶山什么都值了！这条路线我强势安利给喜欢爬山的朋友。）5、龙井问茶（几乎是家家户户开茶馆的山坳里的龙井村，也是世外桃源了。第一次到九溪的时候就是从这里开始徒步的。）6、宝石流霞（宝石山是俯瞰白堤最好的位置，白天晚上都可以爬，在山顶上吹吹风等天黑看西湖夜景，惬意极了）7、杨堤景行（杨公堤沿途景区全部都推荐好吗谢谢，浴鹄湾、乌龟潭，茅家埠，郭庄。人少又安静，可以在这里坐上一整天什么都不干）8、梅坞春早（梅灵南路梅家坞，盛产茶叶的地方，吃吃饭喝喝茶聊聊天走走路都非常好，能让你忘掉城市烟尘的地方。）。9、九曜山（从南屏山上山经过莲子峰到太子湾公园背后的九曜山顶，或直接从太子湾爬上去。在这里眺望西湖吧，杨公堤苏堤里外西湖都尽收眼底）10、满觉陇（听说满觉陇最美的是秋天桂花开的时候，素有满陇桂雨之称。我还没有在秋天去过那里，但还是有推荐的。从上满觉陇上虎跑后山的贵人阁，这条登山路线我太喜欢了。到山顶后可眺望西湖和钱塘江之字弯。下山有路通往虎跑后门，从这里进去可以免门票一般人我不告诉他）,2018-03-29 09:41:23
hx玲儿,s-star5,我想收回当年对觉得西湖soso的评价了。也是因为各新闻报道突然铺天盖地各种江南雪景，我是被迷倒了周四下午临时订的机票，周末打飞的两天去了杭州和嘉兴。很久以前在七八月去过一趟西湖，印象也不是太深刻，当时有游船，或许是因为穿上讲解那种高傲吧 让我没啥好印象的，后来也来过几次杭州，但是初次印象一般没觉得有吹捧的那么美。这次自己一个人来的，到西湖边上的时候开始下雨了，我记得有人说过一定要雨中来一次西湖~~这次我不光看了雪中西湖，也体验了再雨中西湖漫步了，只是没有想象中打着油纸伞漫步的那种唯美感，倒是有些落魄了，这种天气下雨了还是穿雨衣比较合适的。西湖很大，基本很难走回头路，如果要好好逛还是准备一整天的时间比较好，身上最好备些干粮，吃饭还有点麻烦，有些买吃的地方，但是中国景点嘛，特色是贵，宰人。。沿岸有公车7号线，从灵隐寺那边开过来的。灵隐寺是要门票的，但西湖不需要，好羡慕杭州人民了。断桥残雪，是西湖上著名的景色，以冬雪时远观桥面若隐若现于湖面而称著是西湖十景之一。虽然在段桥边看到的满满是人，但却还是很迷人。当时在很远的时候我就奇怪，为什么这些人一直挤在断桥上不走，直到上桥我才被对岸的景色震住了，不是夸张，那画面好不真实，就像衣服泼墨画。由于没带长焦，拍远景还是不够，也比较模糊，肉眼会比较清晰，加上不时下雨带来的雾气，仿若仙境。雪景搭配江南建筑，感觉自己穿越了千年。快回来的时候才得知江南已经十来年没这样积雪了，这次说走就走的旅行真是来对，值了！雪景拍照小贴士，穿上红衣红裙会更搭噢。,2018-03-01 18:08:36
泉韵啸,s-star5,攻略：如果萧山机场下机，可买“平海路”的票到8号门等待上车，到平海路下车导航或问路步行至西湖即可，很近如果杭州东站下车，可乘地铁到“龙翔桥”站下车步行至西湖需要租房的话，最好现实，网络软件对比价格再决定，祝玩得愉快（如果现实线路与以上攻略不同，现实路线有所改变的话，可告诉我核对及修改）,2019-04-23 11:05:52
清水听音,s-star5,离开雷锋塔，我们顺着前一天的路线继续环湖行走，不得不说，虽然初春时的天还有些冷，在湖边散步却也是颇美好的享受：空气湿润，鸟语花香，虽非晴日，西湖仿佛一幅中国水墨画，随着行走，这幅水墨卷轴便徐徐展开，角度怎样转换，都有别致的美。,2019-04-19 14:32:30
胖胖的蛋壳,s-star4,西湖不收取门票，是免费开放，对比其他人气景区动辄两三百的门票来说，非常的良心了。美丽的西湖，算是故地重游，来了好几次了，漫步苏堤，白堤，湖边吹吹风，发发呆，让人好生放松休闲这次趁放假，带着家里人又来游西湖春夏秋冬，皆有不同的美。垂柳，残荷，美得格外动人，可惜有雾霾，天气再给力点儿就完美了,2019-04-18 10:15:58
